title,work experience,salary,region
Системный администратор Linux,2.0,140000.0,Санкт-Петербург
DevOps,2.0,,Москва
IT-Рекрутер,0.0,,Санкт-Петербург
Разработчик интеграций в Доставку,5.0,,Санкт-Петербург
Team Lead,5.0,,Москва
Senior С++ Developer,5.0,,Казань
Инженер-программист С++ (проект REGUL),5.0,,Томск
Site Reliability Engineer (to Canada/Serbia),7.0,,Москва
Программист С++,2.0,,Санкт-Петербург
Системный аналитик,5.0,,Москва
Автор работ по программированию / программист,2.0,,Ярославль
Системный аналитик Киберразведки,2.0,,Самара
Разработчик ETL/DWH,2.0,,Москва
C/C++ developer (PON),2.0,,Новосибирск
Middle Perl Developer,5.0,,Санкт-Петербург
Системный аналитик Киберразведки,2.0,,Нижний Новгород
Инженер-программист ОС,2.0,,Муром
DevOps инженер,2.0,,Санкт-Петербург
Специалист поддержки (junior / middle level) / IT инженер / Middle Office Support Engineer (Murex),2.0,,Москва
Аналитик,2.0,,Москва
С++ разработчик,7.0,,Москва
Backend Developer (Golang),5.0,,Москва
Ведущий инженер (разработчик SDK в ОС Linux),2.0,160000.0,Москва
Инженер-программист группы сопровождения,5.0,260000.0,Москва
